city,scf,zip_code
MELVILLE,005,005xx
SAN JUAN,006,006xx
SAN JUAN,007,007xx
SAN JUAN,008,008xx
SAN JUAN,009,009xx
SPRINGFIELD,010,010xx
SPRINGFIELD,011,011xx
SPRINGFIELD,012,012xx
SPRINGFIELD,013,013xx
SHREWSBURY,014,014xx
SHREWSBURY,015,015xx
SHREWSBURY,016,016xx
SHREWSBURY,017,017xx
NORTH READING,018,018xx
NORTH READING,019,019xx
BROCKTON,020,020xx
BOSTON,021,021xx
BOSTON,022,022xx
BROCKTON,023,023xx
WALTHAM,024,024xx
WAREHAM,025,025xx
WAREHAM,026,026xx
PROVIDENCE,027,027xx
PROVIDENCE,028,028xx
PROVIDENCE,029,029xx
MANCHESTER,030,030xx
MANCHESTER,031,031xx
MANCHESTER,032,032xx
MANCHESTER,033,033xx
MANCHESTER,034,034xx
WHITE RIVER JUNCTION,035,035xx
WHITE RIVER JUNCTION,036,036xx
WHITE RIVER JUNCTION,037,037xx
PORTSMOUTH,038,038xx
PORTSMOUTH,039,039xx
SCARBOROUGH,040,040xx
SCARBOROUGH,041,041xx
SCARBOROUGH,042,042xx
SCARBOROUGH,043,043xx
HAMPDEN,044,044xx
SCARBOROUGH,045,045xx
HAMPDEN,046,046xx
HAMPDEN,047,047xx
SCARBOROUGH,048,048xx
HAMPDEN,049,049xx
WHITE RIVER JUNCTION,050,050xx
WHITE RIVER JUNCTION,051,051xx
WHITE RIVER JUNCTION,052,052xx
WHITE RIVER JUNCTION,053,053xx
ESSEX JUNCTION,054,054xx
NORTH READING,055,055xx
ESSEX JUNCTION,056,056xx
WHITE RIVER JUNCTION,057,057xx
WHITE RIVER JUNCTION,058,058xx
WHITE RIVER JUNCTION,059,059xx
HARTFORD,060,060xx
HARTFORD,061,061xx
HARTFORD,062,062xx
WALLINGFORD,063,063xx
WALLINGFORD,064,064xx
WALLINGFORD,065,065xx
WALLINGFORD,066,066xx
WATERBURY,067,067xx
STAMFORD,068,068xx
STAMFORD,069,069xx
KEARNY,070,070xx
KEARNY,071,071xx
KEARNY,072,072xx
KEARNY,073,073xx
TETERBORO,074,074xx
TETERBORO,075,075xx
TETERBORO,076,076xx
EATONTOWN,077,077xx
WHIPPANY,078,078xx
WHIPPANY,079,079xx
BELLMAWR,080,080xx
BELLMAWR,081,081xx
BELLMAWR,082,082xx
BELLMAWR,083,083xx
BELLMAWR,084,084xx
TRENTON,085,085xx
TRENTON,086,086xx
TRENTON,087,087xx
EDISON,088,088xx
EDISON,089,089xx
EDISON,090,090xx
EDISON,091,091xx
EDISON,092,092xx
MILITARY BASE,093,093xx
EDISON,094,094xx
EDISON,095,095xx
EDISON,096,096xx
EDISON,097,097xx
EDISON,098,098xx
NEW YORK,100,100xx
NEW YORK,101,101xx
NEW YORK,102,102xx
STATEN ISLAND,103,103xx
BRONX,104,104xx
WHITE PLAINS,105,105xx
WHITE PLAINS,106,106xx
WHITE PLAINS,107,107xx
WHITE PLAINS,108,108xx
WHITE PLAINS,109,109xx
FLUSHING,110,110xx
FLUSHING,111,111xx
BROOKLYN,112,112xx
FLUSHING,113,113xx
FLUSHING,114,114xx
GARDEN CITY,115,115xx
BROOKLYN,116,116xx
MELVILLE,117,117xx
MELVILLE,118,118xx
MELVILLE,119,119xx
ALBANY,120,120xx
ALBANY,121,121xx
ALBANY,122,122xx
ALBANY,123,123xx
NEWBURGH,124,124xx
NEWBURGH,125,125xx
NEWBURGH,126,126xx
NEWBURGH,127,127xx
GLENS FALLS,128,128xx
PLATTSBURGH,129,129xx
SYRACUSE,130,130xx
SYRACUSE,131,131xx
SYRACUSE,132,132xx
UTICA,133,133xx
UTICA,134,134xx
UTICA,135,135xx
WATERTOWN,136,136xx
BINGHAMTON,137,137xx
BINGHAMTON,138,138xx
BINGHAMTON,139,139xx
BUFFALO,140,140xx
BUFFALO,141,141xx
BUFFALO,142,142xx
BUFFALO,143,143xx
ROCHESTER,144,144xx
ROCHESTER,145,145xx
ROCHESTER,146,146xx
JAMESTOWN,147,147xx
ELMIRA,148,148xx
ELMIRA,149,149xx
PITTSBURGH,150,150xx
PITTSBURGH,151,151xx
PITTSBURGH,152,152xx
PITTSBURGH,153,153xx
PITTSBURGH,154,154xx
JOHNSTOWN,155,155xx
YOUNGWOOD,156,156xx
JOHNSTOWN,157,157xx
JOHNSTOWN,158,158xx
JOHNSTOWN,159,159xx
NEW CASTLE,160,160xx
NEW CASTLE,161,161xx
NEW CASTLE,162,162xx
ERIE,163,163xx
ERIE,164,164xx
ERIE,165,165xx
DUNCANSVILLE,166,166xx
ERIE,167,167xx
DUNCANSVILLE,168,168xx
WILLIAMSPORT,169,169xx
HARRISBURG,170,170xx
HARRISBURG,171,171xx
HARRISBURG,172,172xx
LANCASTER,173,173xx
LANCASTER,174,174xx
LANCASTER,175,175xx
LANCASTER,176,176xx
WILLIAMSPORT,177,177xx
HARRISBURG,178,178xx
READING,179,179xx
LEHIGH VALLEY,180,180xx
LEHIGH VALLEY,181,181xx
WILKES BARRE,182,182xx
LEHIGH VALLEY,183,183xx
SCRANTON,184,184xx
SCRANTON,185,185xx
WILKES BARRE,186,186xx
WILKES BARRE,187,187xx
SCRANTON,188,188xx
SOUTHEASTERN,189,189xx
PHILADELPHIA,190,190xx
PHILADELPHIA,191,191xx
PHILADELPHIA,192,192xx
SOUTHEASTERN,193,193xx
SOUTHEASTERN,194,194xx
READING,195,195xx
READING,196,196xx
NEW CASTLE,197,197xx
NEW CASTLE,198,198xx
NEW CASTLE,199,199xx
WASHINGTON,200,200xx
DULLES,201,201xx
WASHINGTON,202,202xx
WASHINGTON,203,203xx
WASHINGTON,204,204xx
WASHINGTON,205,205xx
CAPITOL HEIGHTS,206,206xx
CAPITOL HEIGHTS,207,207xx
GAITHERSBURG,208,208xx
GAITHERSBURG,209,209xx
LINTHICUM HEIGHTS,210,210xx
LINTHICUM HEIGHTS,211,211xx
BALTIMORE,212,212xx
LINTHICUM HEIGHTS,214,214xx
CUMBERLAND,215,215xx
EASTON,216,216xx
FREDERICK,217,217xx
EASTON,218,218xx
BALTIMORE,219,219xx
MERRIFIELD,220,220xx
MERRIFIELD,221,221xx
MERRIFIELD,222,222xx
MERRIFIELD,223,223xx
RICHMOND,224,224xx
RICHMOND,225,225xx
WINCHESTER,226,226xx
CULPEPER,227,227xx
CHARLOTTESVILLE,228,228xx
CHARLOTTESVILLE,229,229xx
RICHMOND,230,230xx
RICHMOND,231,231xx
RICHMOND,232,232xx
NORFOLK,233,233xx
NORFOLK,234,234xx
NORFOLK,235,235xx
NORFOLK,236,236xx
NORFOLK,237,237xx
RICHMOND,238,238xx
FARMVILLE,239,239xx
ROANOKE,240,240xx
ROANOKE,241,241xx
BRISTOL,242,242xx
ROANOKE,243,243xx
CHARLOTTESVILLE,244,244xx
LYNCHBURG,245,245xx
BLUEFIELD,246,246xx
BLUEFIELD,247,247xx
BLUEFIELD,248,248xx
LEWISBURG,249,249xx
CHARLESTON,250,250xx
CHARLESTON,251,251xx
CHARLESTON,252,252xx
CHARLESTON,253,253xx
MARTINSBURG,254,254xx
HUNTINGTON,255,255xx
